date,BlkCnt,CapMrktCurUSD,TxCnt,AdrActCnt,PriceUSD,Trends,FearGreed
2020-03-01,177.0,155860614930.09494,312717.0,674209.0,8541.77389392169,,0.39
2020-03-02,149.0,162527106819.9153,341655.0,829550.0,8906.21475645821,,0.38
2020-03-03,153.0,160036426101.82806,346828.0,840712.0,8768.81061420222,,0.38
2020-03-04,167.0,159827648015.21225,350503.0,857423.0,8756.36957218001,,0.4
2020-03-05,163.0,165435942800.14697,350421.0,793221.0,9062.61580274693,,0.41
2020-03-06,155.0,166995631895.5666,338758.0,804945.0,9147.08505897136,,0.39
2020-03-07,157.0,162471226444.75668,313782.0,682432.0,8898.30695675044,,0.38
2020-03-08,158.0,148086770498.23337,304534.0,654911.0,8109.61454114553,,0.33
2020-03-09,150.0,144207873678.32483,347351.0,809850.0,7896.38531987142,,0.17
2020-03-10,132.0,144468246215.19913,329508.0,807778.0,7909.92787545295,,0.16
2020-03-11,119.0,145017268327.98508,290284.0,728889.0,7939.34133477499,,0.17
2020-03-12,151.0,90594467680.79959,346057.0,909601.0,4959.31341437756,,0.14
2020-03-13,125.0,102812902144.09328,279662.0,786409.0,5627.69238836938,,0.1
2020-03-14,128.0,94005928118.49553,276029.0,772769.0,5145.17250642899,,0.08
2020-03-15,119.0,97913564614.60316,224876.0,629326.0,5358.61066335476,,0.12
2020-03-16,119.0,91604630050.69981,269587.0,725120.0,5012.92738778492,,0.09
2020-03-17,123.0,98992369512.90936,279277.0,765477.0,5416.7547106955,0.48,0.08
2020-03-18,100.0,98555627712.75357,233212.0,633373.0,5392.48783594389,0.7679166666666667,0.11
2020-03-19,107.0,113387305928.47572,265543.0,709786.0,6203.5516320865,0.8216666666666668,0.12
2020-03-20,109.0,112858311337.38545,282852.0,734614.0,6174.14947603741,0.8258333333333333,0.09
2020-03-21,124.0,112898621139.26903,238359.0,637554.0,6175.83102220924,0.705,0.09
2020-03-22,127.0,106596093106.52202,215499.0,579901.0,5830.56097960257,0.6304166666666666,0.11
2020-03-23,112.0,118595581239.08948,256978.0,667486.0,6486.40865733489,0.6633333333333333,0.1
2020-03-24,132.0,123884332494.96886,280363.0,736233.0,6775.05761893629,0.8128,0.12
2020-03-25,92.0,122336150605.96745,219772.0,587460.0,6689.96901285798,0.8204166666666667,0.13
2020-03-26,160.0,123528980419.07896,286521.0,889704.0,6754.46033606078,0.76375,0.14
2020-03-27,155.0,118719519155.59431,273175.0,807651.0,6490.79541502046,0.7241666666666667,0.12
2020-03-28,135.0,113993258453.11455,241957.0,627230.0,6231.81989023963,0.7491666666666668,0.08
2020-03-29,151.0,108023566970.573,234751.0,591287.0,5904.85758679135,0.7279166666666668,0.12
2020-03-30,147.0,117768692186.59363,278279.0,770915.0,6436.90570017534,0.735,0.1
2020-03-31,159.0,117698734312.41174,288338.0,816889.0,6432.3832421391,0.6731999999999999,0.12
2020-04-01,153.0,121567284407.78577,285331.0,824108.0,6643.11000870836,0.6741666666666667,0.12
2020-04-02,153.0,124318508345.33902,300020.0,798186.0,6792.74222209234,0.7666666666666667,0.14
2020-04-03,132.0,123582214925.00829,276158.0,750332.0,6751.90255178258,0.7245833333333332,0.14
2020-04-04,157.0,125574021300.84401,255653.0,657862.0,6859.98916867329,0.6645833333333333,0.12
2020-04-05,175.0,124322577425.2926,237774.0,596364.0,6790.81247264758,0.6504166666666668,0.12
2020-04-06,128.0,133622754419.986,282652.0,780832.0,7298.17374517826,0.7604166666666667,0.12
2020-04-07,168.0,131613224221.5547,310534.0,938358.0,7187.59333664524,0.8472,0.2
2020-04-08,144.0,135006761796.008,283150.0,760207.0,7372.19476399766,0.8325,0.21
2020-04-09,154.0,133691006813.91693,289249.0,730620.0,7299.57918790181,0.805,0.22
2020-04-10,163.0,125650890516.87971,286082.0,735297.0,6859.82267475161,0.8629166666666667,0.15
2020-04-11,159.0,126092446156.63507,249141.0,634944.0,6883.18222895967,0.77875,0.15
2020-04-12,153.0,127854957413.5737,232510.0,618062.0,6978.66628661601,0.7725,0.1
2020-04-13,171.0,125761070198.93243,281944.0,764583.0,6863.57553319696,0.82875,0.11
2020-04-14,168.0,125994705942.76488,303129.0,843493.0,6875.53850344828,0.7787999999999999,0.15
2020-04-15,169.0,121426285928.7838,309402.0,926278.0,6625.47577510228,0.7741666666666667,0.18
2020-04-16,154.0,130646051882.06584,321911.0,880665.0,7127.79228223261,0.8145833333333333,0.13
2020-04-17,127.0,129806876584.3978,287202.0,844316.0,7081.39519842197,0.7733333333333333,0.15
2020-04-18,158.0,133146355855.41402,285552.0,847811.0,7262.79234360023,0.7566666666666667,0.18
2020-04-19,152.0,131096633928.62564,254065.0,718815.0,7150.2442154588,0.7325,0.16
2020-04-20,161.0,125665595004.13223,307154.0,842251.0,6853.27341478667,0.75125,0.15
2020-04-21,149.0,125992868717.38625,311455.0,818062.0,6870.42369865576,0.7512000000000001,0.17
2020-04-22,131.0,130648436527.64308,283681.0,762361.0,7123.65691992987,0.7125,0.19
2020-04-23,142.0,137354908752.06412,327396.0,935989.0,7488.60516528346,0.7954166666666667,0.19
2020-04-24,144.0,137695605129.5817,317682.0,893187.0,7506.44331648159,0.8145833333333333,0.2
2020-04-25,136.0,138282481992.70456,278517.0,813456.0,7537.73820911748,0.7908333333333333,0.24
2020-04-26,137.0,140980122465.1078,257046.0,724250.0,7684.06852168322,0.8045833333333333,0.21
2020-04-27,141.0,142707868307.3903,311090.0,876229.0,7777.49151858562,0.8233333333333333,0.28
2020-04-28,154.0,142583524348.09668,326468.0,926669.0,7769.89969842197,0.5936,0.26
2020-04-29,145.0,160802206508.21957,330308.0,911617.0,8761.83716954997,0.5983333333333334,0.26
2020-04-30,135.0,158808556147.54883,320861.0,947585.0,8652.4109912332,0.7108333333333333,0.44
2020-05-01,141.0,162552358585.9274,330551.0,955523.0,8855.53525827002,0.5583333333333333,0.4
2020-05-02,148.0,164803746448.9257,292646.0,970554.0,8977.28170537697,0.5179166666666667,0.4
2020-05-03,168.0,163344877181.00287,283545.0,909805.0,8896.7956383986,0.5341666666666667,0.45
2020-05-04,158.0,163089932635.14145,324017.0,889636.0,8881.95430450029,0.5054166666666666,0.44
2020-05-05,158.0,165015950017.1822,327645.0,970464.0,8985.8795993571,0.3776,0.4
2020-05-06,154.0,170192827716.01007,334650.0,972369.0,9266.8130730567,0.30875,0.42
2020-05-07,147.0,183562058560.50378,343684.0,1020443.0,9993.75317685564,0.37375,0.49
2020-05-08,137.0,181109783310.85468,324693.0,949216.0,9859.32360461718,0.42583333333333334,0.55
2020-05-09,136.0,175946177530.5424,310119.0,906900.0,9577.33892238457,0.3625,0.56
2020-05-10,170.0,160123200654.1847,283795.0,869262.0,8715.03329322034,0.48125,0.48
2020-05-11,157.0,157871609470.3379,311653.0,999192.0,8591.65288433665,0.5425,0.4
2020-05-12,146.0,162025014405.08948,342304.0,954129.0,8817.25068112215,0.7164,0.39
2020-05-13,119.0,171325501477.10483,299956.0,858458.0,9322.99720204559,0.7941666666666667,0.41
2020-05-14,114.0,180121529585.91864,268116.0,880861.0,9801.26948772647,0.8183333333333332,0.4
2020-05-15,125.0,171410710236.33826,311224.0,895670.0,9326.87585891292,0.7154166666666667,0.44
2020-05-16,126.0,172678841534.62964,295280.0,880534.0,9395.4753893045,0.64625,0.41
2020-05-17,102.0,177960818089.34174,236007.0,763444.0,9682.5324811806,0.6654166666666668,0.4
